tipo,discriminacao,url,formato,url_norm,domain,is_pdf,expected_content_type,parser_hint,priority_bucket
Publicação,PROTEÇÃO DA MULHER - Jurisprudência do STF e Bibliografia Temática,https://www.stf.jus.br/arquivo/cms/publicacaoPublicacaoTematica/anexo/protecao_da_mulher.pdf,pdf,https://www.stf.jus.br/arquivo/cms/publicacaoPublicacaoTematica/anexo/protecao_da_mulher.pdf,www.stf.jus.br,True,application/pdf,pdf_text_pymupdf,B
Artigo,"VIOLÊNCIA CONTRA A MULHER: PROBLEMATIZANDO DEFINIÇÕES TEÓRICAS, FILOSÓFICAS E JURÍDICAS",https://www.scielo.br/j/psoc/a/Dr7bvbkMvcYSTwdHDpdYhfn/?lang=pt,html,https://www.scielo.br/j/psoc/a/Dr7bvbkMvcYSTwdHDpdYhfn?lang=pt,www.scielo.br,False,text/html,html_readability,C
Artigo,STF julgará se Lei Maria da Penha alcança casos sem vínculo doméstico,https://www.conjur.com.br/2025-set-08/stf-julgara-se-lei-maria-da-penha-alcanca-casos-sem-vinculo-domestico/,html,https://www.conjur.com.br/2025-set-08/stf-julgara-se-lei-maria-da-penha-alcanca-casos-sem-vinculo-domestico,www.conjur.com.br,False,text/html,html_readability,C
Artigo,Participação ativa da vítima como sujeito processual em casos de violência doméstica contra mulher,https://www.conjur.com.br/2025-jan-28/a-participacao-ativa-da-vitima-como-sujeito-processual-em-casos-de-violencia-domestica-contra-a-mulher/,html,https://www.conjur.com.br/2025-jan-28/a-participacao-ativa-da-vitima-como-sujeito-processual-em-casos-de-violencia-domestica-contra-a-mulher,www.conjur.com.br,False,text/html,html_readability,C
Artigo,Dos parâmetros do formulário de avaliação de risco no atendimento de mulheres em situação de violência,https://www.conjur.com.br/2025-ago-23/a-centralidade-dos-parametros-do-formulario-nacional-de-avaliacao-de-risco-no-atendimento-de-mulheres-em-situacao-de-violencia/,html,https://www.conjur.com.br/2025-ago-23/a-centralidade-dos-parametros-do-formulario-nacional-de-avaliacao-de-risco-no-atendimento-de-mulheres-em-situacao-de-violencia,www.conjur.com.br,False,text/html,html_readability,C
Artigo,Violência psicológica: cifra oculta da criminalidade doméstica e de gênero,https://www.conjur.com.br/2024-jun-27/impacto-da-violencia-psicologica-para-cifra-oculta-da-criminalidade-nos-casos-de-violencia-domestica-e-de-genero/,html,https://www.conjur.com.br/2024-jun-27/impacto-da-violencia-psicologica-para-cifra-oculta-da-criminalidade-nos-casos-de-violencia-domestica-e-de-genero,www.conjur.com.br,False,text/html,html_readability,C
Artigo,O que implica a devida diligência na violência doméstica?,https://criminalplayer.com.br/artigo-conjur-o-que-implica-a-devida-diligencia-na-violencia-domestica/,html,https://criminalplayer.com.br/artigo-conjur-o-que-implica-a-devida-diligencia-na-violencia-domestica,criminalplayer.com.br,False,text/html,html_readability,C
Artigo,Pode a vítima de violência doméstica falar?,https://www.conjur.com.br/2024-abr-25/pode-a-vitima-de-violencia-domestica-falar/,html,https://www.conjur.com.br/2024-abr-25/pode-a-vitima-de-violencia-domestica-falar,www.conjur.com.br,False,text/html,html_readability,C
Artigo,Violência contra mulher: ‘psiquiatrização’ do agressor ou tese de defesa,https://agenciapatriciagalvao.org.br/violencia/violencia-domestica/violencia-contra-mulher-psiquiatrizacao-do-agressor-ou-tese-de-defesa-por-thaiane-de-almeida-fernandes/,html,https://agenciapatriciagalvao.org.br/violencia/violencia-domestica/violencia-contra-mulher-psiquiatrizacao-do-agressor-ou-tese-de-defesa-por-thaiane-de-almeida-fernandes,agenciapatriciagalvao.org.br,False,text/html,html_readability,C
Artigo,"Se crime é contra mulher, Lei Maria da Penha prevalece sobre estatutos, define STJ",https://www.conjur.com.br/2025-fev-06/se-crime-e-contra-mulher-lei-maria-da-penha-prevalece-sobre-estatutos-define-stj/,html,https://www.conjur.com.br/2025-fev-06/se-crime-e-contra-mulher-lei-maria-da-penha-prevalece-sobre-estatutos-define-stj,www.conjur.com.br,False,text/html,html_readability,C
